source,translation
Start / Pause / Resume timer,Demjimêrê dest pê bike / raweste / berdewam bike
Stop timer,Demjimêrê raweste
New entry (focus quick-add bar),Têketina nû (baldarî li ser leza zêdekirinê)
Previous / next day or week,Roja / hefteya berê / ya pêş
Show / hide this overlay,Vê qatê nîşan bide / veşêre
Press H or Esc to close,Ji bo girtinê H an Esc pêl bike
Close,Bigire
Timer,Demjimêr
Entries,Têketin
This week at a glance,Ev hefte bi yek nihêrînê
Time by tag,Dem li gorî etîketê
Hours per day,Saetên rojê
No entries this week,Vê hefteyê têketin tune ne
No entries,Têketin tune ne
Untagged,Bê etîket
Monthly Budget (h),Budceya mehane (s)
Warn at (%),Hişyarî (%)
0 = no limit,0 = bê sînor
0 = site default,0 = berdest a malperê
Approaching limit,Nêzîkî sînor
Budget exceeded,Budce derbas bû
budget used this month,budceya vê mehê bikaranî
used this month,vê mehê hate bikaranîn
of,ji
Focus,Baldarî
Start Focus,Baldariyê dest pê bike
End focus,Baldariyê biqedîne
Skip break,Navberê derbas bike
Break over,Navber qediya
Time to focus!,Dema baldariyê ye!
Session complete,Danişîn qediya
Focus complete!,Baldarî qediya!
All sessions done. Great work!,Hemû danişîn qediyan. Xebata hêja!
sessions done. Great work!,Danişîn qediyan. Xebata hêja!
Start new,Nû dest pê bike
Work in focused sessions with timed breaks.,Di danişînên bi baldarî de bi navberên demkî re bixebite.
Session,Danişîn
Break,Navber
Work (min),Xebat (deq)
Break (min),Navber (deq)
Sessions,Danişîn
No break is active,Tu navber çalak nîne
No focus session is running,Tu danişîna baldariyê naxebite
Context,Çarçove
Contact,Têkilî
Context Type,Cureyê çarçoveyê
For whom?,Ji bo kê?
Working on?,Li ser çi dixebitî?
Search contacts...,Têkiliyan bigere...
Select type...,Cure hilbijêre...
All contacts,Hemû têkilî
All projects,Hemû proje
(no contact),(têkilî tune)
(no project),(proje tune)
(no task),(erk tune)
Filter by:,Parzûn bike:
Time by contact,Dem li gorî têkiliyê
Time by context,Dem li gorî çarçoveyê
Time by task,Dem li gorî erkê
Contact hours summary,Kurteya saetên têkiliyê
