source,translation
Open weekly view,Haftalık görünümü aç
Other,Diğer
Pause,Duraklat
Prepare,Hazırla
Prepare Summary,Hazırlık özeti
Project,Proje
Rate,Saat ücreti
Rename,Yeniden adlandır
Resume,Devam et
Saved — {0},Kaydedildi — {0}
Save,Kaydet
Sat,Cmt
Scheduled,Planlandı
Send,Gönder
Settings,Ayarlar
Show weekends,Hafta sonlarını göster
Start time,Başlangıç zamanı
Start Timer,Sayacı başlat
"Start timer: ""{0}""","Sayacı başlat: ""{0}"""
"Stop current & start: ""{0}""","Mevcut durdur ve başlat: ""{0}"""
Started yesterday,Dün başlatıldı
Sun,Paz
Sync all unsynced entries,Tüm senkronize edilmemiş kayıtları senkronize et
Sync billable entries only,Yalnızca kaydedilebilir kayıtları senkronize et
Sync completed with errors,Senkronizasyon hatalarla tamamlandı
Sync complete,Senkronizasyon tamamlandı
Sync interval,Senkronizasyon aralığı
Sync mode,Senkronizasyon modu
Synced to ERPNext,ERPNext'e senkronize edildi
Syncing entries to ERPNext…,Kayıtlar ERPNext'e senkronize ediliyor…
{0} day(s) synced.,{0} gün senkronize edildi.
Tag,Etiket
Tag management,Etiket yönetimi
Tag Name,Etiket adı
Tag renamed. {0} entries updated.,Etiket yeniden adlandırıldı. {0} kayıt güncellendi.
Tags,Etiketler
Tags merged. {0} entries re-tagged.,Etiketler birleştirildi. {0} kayıt yeniden etiketlendi.
Task,Görev
Test connection,Bağlantıyı test et
Test Connection,Bağlantıyı test et
This entry is locked,Bu kayıt kilitli
This month,Bu ay
This week,Bu hafta
Thu,Per
Time Bridge,Zaman köprüsü
Time Entries,Zaman kayıtları
Timer already running,Sayaç zaten çalışıyor
Timer is already running,Sayaç zaten çalışıyor
Timer is not paused,Sayaç duraklatılmamış
Timer is not running,Sayaç çalışmıyor
To,Bitiş
Today,Bugün
Total,Toplam
Total billable,Toplam kaydedilebilir
Tue,Sal
Unknown error,Bilinmeyen hata
Unassigned,Atanmamış
(untagged project),(etiketsiz proje)
View entry →,Kaydı görüntüle →
Warning: This entry is more than 7 days old.,Uyarı: Bu kayıt 7 günden eski.
Wed,Çar
Week {0},Hafta {0}
What are you working on?,Ne üzerinde çalışıyorsunuz?
What did you work on?,Ne üzerinde çalıştınız?
Work Days,İş günleri
Yesterday,Dün
draft,taslak
entries this month,bu ayki kayıtlar
no entries,kayıt yok
no entries yet,henüz kayıt yok
sent,gönderildi
+{0} more,+{0} daha
← from {0},← {0} tarihinden
[Auto-stopped after {0}h],[{0}s sonra otomatik durduruldu]
Entry Type,Kayıt türü
Fri,Cum
Keyboard Shortcuts,Klavye kısayolları
Start / Pause / Resume timer,Sayacı başlat / Duraklat / Devam et
Stop timer,Sayacı durdur
New entry (focus quick-add bar),Yeni kayıt (hızlı ekleme çubuğuna odaklan)
Previous / next day or week,Önceki / sonraki gün veya hafta
Show / hide this overlay,Bu katmanı göster / gizle
Press H or Esc to close,Kapatmak için H veya Esc tuşuna basın
Close,Kapat
Timer,Sayaç
Entries,Kayıtlar
This week at a glance,Bu hafta bir bakışta
Time by tag,Etikete göre süre
Hours per day,Günlük saat
No entries this week,Bu hafta kayıt yok
No entries,Kayıt yok
Untagged,Etiketsiz
Monthly Budget (h),Aylık bütçe (s)
Warn at (%),Uyar (%)
0 = no limit,0 = sınırsız
0 = site default,0 = site varsayılanı
Approaching limit,Sınıra yaklaşılıyor
Budget exceeded,Bütçe aşıldı
budget used this month,bu ay kullanılan bütçe
used this month,bu ay kullanılan
of,/
Focus,Odaklanma
Start Focus,Odaklanmayı başlat
End focus,Odaklanmayı bitir
Skip break,Molayı atla
Break over,Mola bitti
Time to focus!,Odaklanma zamanı!
Session complete,Oturum tamamlandı
Focus complete!,Odaklanma tamamlandı!
All sessions done. Great work!,Tüm oturumlar tamamlandı. Harika iş!
sessions done. Great work!,oturum tamamlandı. Harika iş!
Start new,Yeni başlat
Work in focused sessions with timed breaks.,Zamanlı molalarla odaklı oturumlarda çalışın.
Session,Oturum
Break,Mola
Work (min),Çalışma (dk)
Break (min),Mola (dk)
Sessions,Oturumlar
No break is active,Aktif mola yok
No focus session is running,Çalışan odaklanma oturumu yok
Context,Bağlam
Contact,Kişi
Context Type,Bağlam türü
For whom?,Kimin için?
Working on?,Ne üzerinde çalışıyorsunuz?
Search contacts...,Kişi ara...
Select type...,Tür seçin...
All contacts,Tüm kişiler
All projects,Tüm projeler
(no contact),(kişi yok)
(no project),(proje yok)
(no task),(görev yok)
Filter by:,Filtrele:
Time by contact,Kişiye göre süre
Time by context,Bağlama göre süre
Time by task,Göreve göre süre
Contact hours summary,Kişi saat özeti
