source,translation
Untagged,بې ټګ
Monthly Budget (h),میاشتنۍ بودجه (س)
Warn at (%),خبرداری (%)
0 = no limit,۰ = هیڅ حد نشته
0 = site default,۰ = سایټ ډیفالټ
Approaching limit,حد ته نږدې
Budget exceeded,بودجه اوښتې
budget used this month,دا میاشت کارول شوې بودجه
used this month,دا میاشت کارول شوي
of,د
Focus,تمرکز
Start Focus,تمرکز پیل کړئ
End focus,تمرکز پای ته ورسوئ
Skip break,وقفه پریږدئ
Break over,وقفه پای ته ورسیده
Time to focus!,د تمرکز وخت دی!
Session complete,ناسته بشپړه شوه
Focus complete!,تمرکز بشپړ شو!
All sessions done. Great work!,ټولې ناستې بشپړې شوې. عالي کار!
sessions done. Great work!,ناستې بشپړې شوې. عالي کار!
Start new,نوی پیل کړئ
Work in focused sessions with timed breaks.,د وختي وقفو سره په تمرکز شوو ناستو کې کار وکړئ.
Session,ناسته
Break,وقفه
Work (min),کار (دقیقې)
Break (min),وقفه (دقیقې)
Sessions,ناستې
No break is active,هیڅ وقفه فعاله نه ده
No focus session is running,هیڅ تمرکز ناسته نه روانه ده
Context,سیاق
Contact,اړیکه
Context Type,د سیاق ډول
For whom?,د چا لپاره؟
Working on?,په څه کار کوئ؟
Search contacts...,اړیکې ولټوئ...
Select type...,ډول غوره کړئ...
All contacts,ټولې اړیکې
All projects,ټولې پروژې
(no contact),(اړیکه نشته)
(no project),(پروژه نشته)
(no task),(دنده نشته)
Filter by:,فلتر:
Time by contact,د اړیکې له مخې وخت
Time by context,د سیاق له مخې وخت
Time by task,د دندې له مخې وخت
Contact hours summary,د اړیکې ساعتونو لنډیز
