source,translation
"Break over","Почивката свърши"
"Time to focus!","Време за фокус!"
"Session complete","Сесията е завършена"
"Focus complete!","Фокусът е завършен!"
"All sessions done. Great work!","Всички сесии са завършени. Браво!"
"sessions done. Great work!","сесии завършени. Браво!"
"Start new","Започни нова"
"Work in focused sessions with timed breaks.","Работете във фокусирани сесии с хронометрирани почивки."
Session,Сесия
Break,Почивка
"Work (min)","Работа (мин)"
"Break (min)","Почивка (мин)"
Sessions,Сесии
"No break is active","Няма активна почивка"
"No focus session is running","Няма работеща фокус сесия"
Context,Контекст
Contact,Контакт
"Context Type","Тип контекст"
"For whom?","За кого?"
"Working on?","Работите по?"
"Search contacts...","Търси контакти..."
"Select type...","Избери тип..."
"All contacts","Всички контакти"
"All projects","Всички проекти"
"(no contact)","(без контакт)"
"(no project)","(без проект)"
"(no task)","(без задача)"
"Filter by:","Филтрирай по:"
"Time by contact","Време по контакт"
"Time by context","Време по контекст"
"Time by task","Време по задача"
"Contact hours summary","Обобщение на часовете по контакти"
