source,translation
"Tags merged. {0} entries re-tagged.","Pinagsama ang mga tag. {0} entry ang na-re-tag."
Task,Gawain
"Test connection","Subukan ang koneksyon"
"Test Connection","Subukan ang Koneksyon"
"This entry is locked","Naka-lock ang entry na ito"
"This month","Ngayong buwan"
"This week","Ngayong linggo"
Thu,Huw
"Time Bridge","Time Bridge"
"Time Entries","Mga Time Entry"
"Timer already running","Tumatakbo na ang timer"
"Timer is already running","Tumatakbo na ang timer"
"Timer is not paused","Hindi naka-pause ang timer"
"Timer is not running","Hindi tumatakbo ang timer"
To,Hanggang
Today,Ngayon
Total,Kabuuan
"Total billable","Kabuuang masisingil"
Tue,Mar
"Unknown error","Hindi kilalang error"
Unassigned,Hindi pa nakatalaga
"(untagged project)","(proyektong walang tag)"
"View entry →","Tingnan ang entry →"
"Warning: This entry is more than 7 days old.","Babala: Ang entry na ito ay higit sa 7 araw ang gulang."
Wed,Miy
"Week {0}","Linggo {0}"
"What are you working on?","Ano ang ginagawa mo?"
"What did you work on?","Ano ang ginawa mo?"
"Work Days","Araw ng Trabaho"
Yesterday,Kahapon
draft,draft
"entries this month","mga entry ngayong buwan"
"no entries","walang entry"
"no entries yet","wala pang entry"
sent,naipadala
"+{0} more","+{0} pa"
"← from {0}","← mula sa {0}"
"[Auto-stopped after {0}h]","[Auto-stop pagkatapos ng {0}h]"
"Entry Type","Uri ng Entry"
Fri,Biy
"Keyboard Shortcuts","Mga Keyboard Shortcut"
"Start / Pause / Resume timer","Simulan / I-pause / Ituloy ang timer"
"Stop timer","Itigil ang timer"
"New entry (focus quick-add bar)","Bagong entry (focus sa quick-add bar)"
"Previous / next day or week","Nakaraang / susunod na araw o linggo"
"Show / hide this overlay","Ipakita / itago ang overlay na ito"
"Press H or Esc to close","Pindutin ang H o Esc upang isara"
Close,Isara
Timer,Timer
Entries,Mga Entry
"This week at a glance","Sulyap sa linggong ito"
"Time by tag","Oras ayon sa tag"
"Hours per day","Oras bawat araw"
"No entries this week","Walang entry ngayong linggo"
"No entries","Walang entry"
Untagged,Walang tag
"Monthly Budget (h)","Buwanang Budget (oras)"
"Warn at (%)","Balaan sa (%)"
"0 = no limit","0 = walang limitasyon"
"0 = site default","0 = default ng site"
"Approaching limit","Papalapit sa limitasyon"
"Budget exceeded","Lumampas sa budget"
"budget used this month","budget na nagamit ngayong buwan"
"used this month","nagamit ngayong buwan"
of,ng
Focus,Focus
"Start Focus","Simulan ang Focus"
"End focus","Tapusin ang focus"
"Skip break","Laktawan ang break"
"Break over","Tapos na ang break"
"Time to focus!","Oras na para mag-focus!"
"Session complete","Tapos na ang session"
"Focus complete!","Tapos na ang focus!"
"All sessions done. Great work!","Tapos na lahat ng session. Magaling!"
"sessions done. Great work!","session ang natapos. Magaling!"
"Start new","Magsimula ng bago"
"Work in focused sessions with timed breaks.","Magtrabaho sa mga focused session na may timed break."
Session,Session
Break,Break
"Work (min)","Trabaho (min)"
"Break (min)","Break (min)"
Sessions,Mga Session
"No break is active","Walang aktibong break"
"No focus session is running","Walang tumatakbong focus session"
Context,Konteksto
Contact,Kontak
"Context Type","Uri ng Konteksto"
"For whom?","Para kanino?"
"Working on?","Ano ang ginagawa?"
"Search contacts...","Maghanap ng kontak..."
"Select type...","Pumili ng uri..."
"All contacts","Lahat ng kontak"
"All projects","Lahat ng proyekto"
"(no contact)","(walang kontak)"
"(no project)","(walang proyekto)"
"(no task)","(walang gawain)"
"Filter by:","I-filter ayon sa:"
"Time by contact","Oras ayon sa kontak"
"Time by context","Oras ayon sa konteksto"
"Time by task","Oras ayon sa gawain"
"Contact hours summary","Buod ng oras ng kontak"
