source,translation
Project,Проект
Rate,Ставка
Rename,Переименовать
Resume,Возобновить
Saved — {0},Сохранено — {0}
Save,Сохранить
Sat,Сб
Scheduled,По расписанию
Send,Отправить
Settings,Настройки
Show weekends,Показать выходные
Start time,Время начала
Start Timer,Запустить таймер
"Start timer: ""{0}""","Запустить таймер: ""{0}"""
"Stop current & start: ""{0}""","Остановить текущий и запустить: ""{0}"""
Started yesterday,Начато вчера
Sun,Вс
Sync all unsynced entries,Синхронизировать все несинхронизированные записи
Sync billable entries only,Синхронизировать только оплачиваемые записи
Sync completed with errors,Синхронизация завершена с ошибками
Sync complete,Синхронизация завершена
Sync interval,Интервал синхронизации
Sync mode,Режим синхронизации
Synced to ERPNext,Синхронизировано с ERPNext
Syncing entries to ERPNext…,Синхронизация записей с ERPNext…
{0} day(s) synced.,{0} дн. синхронизировано.
Tag,Тег
Tag management,Управление тегами
Tag Name,Имя тега
Tag renamed. {0} entries updated.,Тег переименован. {0} записей обновлено.
Tags,Теги
Tags merged. {0} entries re-tagged.,Теги объединены. {0} записей перетегировано.
Task,Задача
Test connection,Проверить соединение
Test Connection,Проверить соединение
This entry is locked,Эта запись заблокирована
This month,В этом месяце
This week,На этой неделе
Thu,Чт
Time Bridge,Мост времени
Time Entries,Записи времени
Timer already running,Таймер уже запущен
Timer is already running,Таймер уже запущен
Timer is not paused,Таймер не на паузе
Timer is not running,Таймер не запущен
To,До
Today,Сегодня
Total,Итого
Total billable,Итого оплачиваемое
Tue,Вт
Unknown error,Неизвестная ошибка
Unassigned,Не назначено
(untagged project),(проект без тега)
View entry →,Просмотр записи →
Warning: This entry is more than 7 days old.,Внимание: Этой записи более 7 дней.
Wed,Ср
Week {0},Неделя {0}
What are you working on?,Над чем вы работаете?
What did you work on?,Над чем вы работали?
Work Days,Рабочие дни
Yesterday,Вчера
draft,черновик
entries this month,записей в этом месяце
no entries,нет записей
no entries yet,пока нет записей
sent,отправлено
+{0} more,+{0} ещё
← from {0},← от {0}
[Auto-stopped after {0}h],[Автоостановка через {0}ч]
Entry Type,Тип записи
Fri,Пт
Keyboard Shortcuts,Сочетания клавиш
Start / Pause / Resume timer,Запуск / Пауза / Возобновление таймера
Stop timer,Остановить таймер
New entry (focus quick-add bar),Новая запись (фокус на панели быстрого добавления)
Previous / next day or week,Предыдущий / следующий день или неделя
Show / hide this overlay,Показать / скрыть эту панель
Press H or Esc to close,Нажмите H или Esc для закрытия
Close,Закрыть
Timer,Таймер
Entries,Записи
This week at a glance,Эта неделя обзорно
Time by tag,Время по тегам
Hours per day,Часов в день
No entries this week,Нет записей на этой неделе
No entries,Нет записей
Untagged,Без тега
Monthly Budget (h),Месячный бюджет (ч)
Warn at (%),Предупреждать при (%)
0 = no limit,0 = без ограничения
0 = site default,0 = по умолчанию сайта
Approaching limit,Приближение к лимиту
Budget exceeded,Бюджет превышен
budget used this month,бюджет использован в этом месяце
used this month,использовано в этом месяце
of,из
Focus,Фокус
Start Focus,Начать фокус
End focus,Завершить фокус
Skip break,Пропустить перерыв
Break over,Перерыв окончен
Time to focus!,Время сосредоточиться!
Session complete,Сессия завершена
Focus complete!,Фокус завершён!
All sessions done. Great work!,Все сессии завершены. Отличная работа!
sessions done. Great work!,сессий завершено. Отличная работа!
Start new,Начать новую
Work in focused sessions with timed breaks.,Работайте в фокусированных сессиях с перерывами по таймеру.
Session,Сессия
Break,Перерыв
Work (min),Работа (мин)
Break (min),Перерыв (мин)
Sessions,Сессии
No break is active,Нет активного перерыва
No focus session is running,Нет запущенной фокус-сессии
Context,Контекст
Contact,Контакт
Context Type,Тип контекста
For whom?,Для кого?
Working on?,Над чем работаете?
Search contacts...,Поиск контактов...
Select type...,Выберите тип...
All contacts,Все контакты
All projects,Все проекты
(no contact),(без контакта)
(no project),(без проекта)
(no task),(без задачи)
Filter by:,Фильтр по:
Time by contact,Время по контактам
Time by context,Время по контексту
Time by task,Время по задачам
Contact hours summary,Сводка часов по контактам
