source,translation
"This month","በዚህ ወር"
"This week","በዚህ ሳምንት"
Thu,ሐሙስ
"Time Bridge","የሰዓት ድልድይ"
"Time Entries","የሰዓት ግቤቶች"
"Timer already running","ሰዓት ቆጣሪ አስቀድሞ እየሰራ ነው"
"Timer is already running","ሰዓት ቆጣሪ አስቀድሞ እየሰራ ነው"
"Timer is not paused","ሰዓት ቆጣሪ አላቆመም"
"Timer is not running","ሰዓት ቆጣሪ እየሰራ አይደለም"
To,እስከ
Today,ዛሬ
Total,ጠቅላላ
"Total billable","ጠቅላላ ሊከፈል የሚችል"
Tue,ማክሰኞ
"Unknown error","ያልታወቀ ስህተት"
Unassigned,ያልተመደበ
"(untagged project)","(ያልተሰየመ ፕሮጀክት)"
"View entry →","ግቤት ተመልከት →"
"Warning: This entry is more than 7 days old.","ማስጠንቀቂያ: ይህ ግቤት ከ7 ቀናት በላይ ያስቆጠረ ነው።"
Wed,ረቡዕ
"Week {0}","ሳምንት {0}"
"What are you working on?","ምን እየሰሩ ነው?"
"What did you work on?","ምን ሰሩ?"
"Work Days","የስራ ቀናት"
Yesterday,ትላንት
draft,ረቂቅ
"entries this month","የዚህ ወር ግቤቶች"
"no entries","ግቤት የለም"
"no entries yet","እስካሁን ግቤት የለም"
sent,ተልኳል
"+{0} more","+{0} ተጨማሪ"
"← from {0}","← ከ{0}"
"[Auto-stopped after {0}h]","[ከ{0} ሰዓት በኋላ በራስ-ሰር ቆሟል]"
"Entry Type","የግቤት ዓይነት"
Fri,ዓርብ
"Keyboard Shortcuts","የቁልፍ ሰሌዳ አቋራጮች"
"Start / Pause / Resume timer","ሰዓት ቆጣሪ ጀምር / አቁም / ቀጥል"
"Stop timer","ሰዓት ቆጣሪ አቁም"
"New entry (focus quick-add bar)","አዲስ ግቤት (ፈጣን-ማከያ አሞሌ ላይ አተኩር)"
"Previous / next day or week","ቀዳሚ / ቀጣይ ቀን ወይም ሳምንት"
"Show / hide this overlay","ይህን ሽፋን አሳይ / ደብቅ"
"Press H or Esc to close","ለመዝጋት H ወይም Esc ተጫን"
Close,ዝጋ
Timer,ሰዓት ቆጣሪ
Entries,ግቤቶች
"This week at a glance","የዚህ ሳምንት አጭር ዕይታ"
"Time by tag","በመለያ ሰዓት"
"Hours per day","በቀን ሰዓታት"
"No entries this week","በዚህ ሳምንት ግቤት የለም"
"No entries","ግቤት የለም"
Untagged,ያልተሰየመ
"Monthly Budget (h)","ወርሃዊ በጀት (ሰ)"
"Warn at (%)","ማስጠንቀቂያ (%)"
"0 = no limit","0 = ገደብ የለም"
"0 = site default","0 = ነባሪ የጣቢያ ቅንብር"
"Approaching limit","ገደብ እየቀረበ ነው"
"Budget exceeded","በጀት ተሻግሯል"
"budget used this month","በዚህ ወር የተጠቀመ በጀት"
"used this month","በዚህ ወር ጥቅም ላይ የዋለ"
of,ከ
Focus,ትኩረት
"Start Focus","ትኩረት ጀምር"
"End focus","ትኩረት ጨርስ"
"Skip break","ዕረፍት ዝለል"
"Break over","ዕረፍት አልቋል"
"Time to focus!","ለትኩረት ጊዜ ሆኗል!"
"Session complete","ክፍለ ጊዜ ተጠናቋል"
"Focus complete!","ትኩረት ተጠናቋል!"
"All sessions done. Great work!","ሁሉም ክፍለ ጊዜዎች ተጠናቅቀዋል። ጥሩ ስራ!"
"sessions done. Great work!","ክፍለ ጊዜዎች ተጠናቅቀዋል። ጥሩ ስራ!"
"Start new","አዲስ ጀምር"
"Work in focused sessions with timed breaks.","በጊዜ የተገደበ ዕረፍቶች ያሉት ትኩረት ክፍለ ጊዜዎች ውስጥ ስሩ።"
Session,ክፍለ ጊዜ
Break,ዕረፍት
"Work (min)","ስራ (ደቂቃ)"
"Break (min)","ዕረፍት (ደቂቃ)"
Sessions,ክፍለ ጊዜዎች
"No break is active","ምንም ዕረፍት ንቁ አይደለም"
"No focus session is running","ምንም ትኩረት ክፍለ ጊዜ እየሰራ አይደለም"
Context,አውድ
Contact,ግንኙነት
"Context Type","የአውድ ዓይነት"
"For whom?","ለማን?"
"Working on?","ምን እየሰሩ ነው?"
"Search contacts...","ግንኙነቶችን ፈልግ..."
"Select type...","ዓይነት ምረጥ..."
"All contacts","ሁሉም ግንኙነቶች"
"All projects","ሁሉም ፕሮጀክቶች"
"(no contact)","(ግንኙነት የለም)"
"(no project)","(ፕሮጀክት የለም)"
"(no task)","(ተግባር የለም)"
"Filter by:","አጣራ በ:"
"Time by contact","በግንኙነት ሰዓት"
"Time by context","በአውድ ሰዓት"
"Time by task","በተግባር ሰዓት"
"Contact hours summary","የግንኙነት ሰዓታት ማጠቃለያ"
